approach_name,approach_code,run_id,iteration,elapsed_seconds,current_objective_score,best_objective_score,best_improvement_pct,success_rate_pct,stability_score_pct,error_or_noise_pct,memory_mb,energy_cost_units
Standard Classical,A,A-1,27,76.16,49.433,49.461,146.66,74.02,86.25,4.46,328.3,9.42
Standard Classical,A,A-1,28,80.62,49.866,49.866,148.68,74.23,86.02,4.36,329.4,9.47
Standard Classical,A,A-1,29,85.2,50.633,50.633,152.51,74.43,86.62,4.45,335.1,9.84
Standard Classical,A,A-1,30,89.9,50.837,50.837,153.53,74.42,86.63,4.49,329.7,9.94
Standard Classical,A,A-2,0,1.1,19.794,19.918,0.63,66.7,92.42,2.96,260.7,4.49
Standard Classical,A,A-2,1,2.32,26.154,26.154,32.13,68.55,91.72,3.2,263.7,4.73
Standard Classical,A,A-2,2,3.66,29.708,29.708,50.09,69.99,91.87,3.1,262.0,4.9
Standard Classical,A,A-2,3,5.12,32.363,32.363,63.5,71.0,91.33,3.0,266.9,5.23
Standard Classical,A,A-2,4,6.7,34.322,34.322,73.4,71.21,91.26,3.37,269.9,5.25
Standard Classical,A,A-2,5,8.4,35.641,35.641,80.06,71.57,90.97,3.42,274.5,5.53
Standard Classical,A,A-2,6,10.22,37.771,37.771,90.82,72.16,90.1,3.46,268.2,5.63
Standard Classical,A,A-2,7,12.16,38.791,38.791,95.97,72.76,90.41,3.31,276.9,5.7
Standard Classical,A,A-2,8,14.22,39.534,39.534,99.73,72.91,90.45,3.39,278.2,5.92
Standard Classical,A,A-2,9,16.4,40.748,40.748,105.86,73.25,90.6,3.47,280.4,6.31
Standard Classical,A,A-2,10,18.7,41.055,41.055,107.41,73.05,89.02,3.53,286.9,6.22
Standard Classical,A,A-2,11,21.12,41.933,41.933,111.85,73.28,90.43,3.73,288.8,6.51
Standard Classical,A,A-2,12,23.66,43.483,43.483,119.68,73.74,88.84,3.63,291.0,6.57
Standard Classical,A,A-2,13,26.32,43.54,43.54,119.97,73.91,89.16,3.53,290.6,6.96
Standard Classical,A,A-2,14,29.1,44.449,44.449,124.56,74.02,88.97,3.66,295.7,7.02
Standard Classical,A,A-2,15,32.0,44.612,44.612,125.38,73.95,88.85,3.73,297.9,7.22
Standard Classical,A,A-2,16,35.02,45.405,45.405,129.39,74.19,88.3,3.69,300.7,7.28
Standard Classical,A,A-2,17,38.16,45.584,45.584,130.29,74.22,88.76,3.74,305.5,7.64
Standard Classical,A,A-2,18,41.42,46.898,46.898,136.93,74.52,88.47,3.83,304.4,7.95
Standard Classical,A,A-2,19,44.8,46.772,46.898,136.93,74.07,87.61,4.06,309.7,8.05
Standard Classical,A,A-2,20,48.3,47.561,47.561,140.28,74.35,88.6,4.11,306.1,8.11
Standard Classical,A,A-2,21,51.92,47.828,47.828,141.63,74.27,87.37,4.09,314.2,8.14
Standard Classical,A,A-2,22,55.66,47.874,47.874,141.86,74.09,86.96,4.17,313.2,8.36
Standard Classical,A,A-2,23,59.52,48.211,48.211,143.56,74.04,87.61,4.35,320.5,8.73
Standard Classical,A,A-2,24,63.5,49.109,49.109,148.1,74.61,87.42,4.12,317.6,8.83
Standard Classical,A,A-2,25,67.6,48.507,49.109,148.1,74.25,86.27,4.24,320.1,9.07
Standard Classical,A,A-2,26,71.82,49.788,49.788,151.53,74.62,86.66,4.16,328.1,9.27
Standard Classical,A,A-2,27,76.16,49.586,49.788,151.53,74.44,86.56,4.26,327.5,9.21
Standard Classical,A,A-2,28,80.62,50.21,50.21,153.66,74.14,86.06,4.53,333.7,9.52
Standard Classical,A,A-2,29,85.2,50.137,50.21,153.66,74.27,86.71,4.47,334.8,9.71
Standard Classical,A,A-2,30,89.9,50.575,50.575,155.51,74.41,85.87,4.34,336.7,10.03
Standard Classical,A,A-3,0,1.1,18.452,19.438,5.34,66.11,91.78,3.21,257.2,4.35
Standard Classical,A,A-3,1,2.32,25.472,25.472,38.04,68.52,91.2,2.98,265.7,4.88
Standard Classical,A,A-3,2,3.66,29.328,29.328,58.94,70.16,92.27,2.91,266.8,4.87
Standard Classical,A,A-3,3,5.12,32.445,32.445,75.83,70.86,91.47,3.15,270.3,5.04
Standard Classical,A,A-3,4,6.7,34.931,34.931,89.31,71.49,91.58,3.36,272.1,5.0
Standard Classical,A,A-3,5,8.4,35.119,35.119,90.33,71.53,90.69,3.28,276.3,5.47
Standard Classical,A,A-3,6,10.22,37.026,37.026,100.66,72.25,90.5,3.23,280.6,5.62
Standard Classical,A,A-3,7,12.16,38.545,38.545,108.89,72.52,90.56,3.44,277.8,5.75
Standard Classical,A,A-3,8,14.22,39.154,39.154,112.19,72.58,90.19,3.51,279.1,6.07
Standard Classical,A,A-3,9,16.4,39.61,39.61,114.67,72.29,89.6,3.78,277.1,6.23
Standard Classical,A,A-3,10,18.7,41.082,41.082,122.64,72.88,90.11,3.78,287.4,6.4
Standard Classical,A,A-3,11,21.12,41.686,41.686,125.92,73.65,90.53,3.39,289.1,6.49
Standard Classical,A,A-3,12,23.66,42.187,42.187,128.63,73.51,90.27,3.59,289.7,6.48
Standard Classical,A,A-3,13,26.32,42.894,42.894,132.46,73.63,89.4,3.59,294.3,6.91
Standard Classical,A,A-3,14,29.1,43.501,43.501,135.75,73.8,88.5,3.51,295.9,7.04
Standard Classical,A,A-3,15,32.0,44.096,44.096,138.98,73.9,89.03,3.64,295.3,7.17
Standard Classical,A,A-3,16,35.02,44.945,44.945,143.58,73.62,88.64,4.03,301.5,7.53
Standard Classical,A,A-3,17,38.16,45.35,45.35,145.77,73.88,88.44,3.9,300.0,7.76
Standard Classical,A,A-3,18,41.42,45.613,45.613,147.2,73.85,88.68,4.0,305.9,7.97
Standard Classical,A,A-3,19,44.8,46.053,46.053,149.58,74.05,88.95,3.98,307.8,7.75
Standard Classical,A,A-3,20,48.3,46.295,46.295,150.89,73.85,87.75,4.05,309.3,8.03
Standard Classical,A,A-3,21,51.92,47.168,47.168,155.63,73.97,87.59,4.16,313.6,8.15
Standard Classical,A,A-3,22,55.66,47.849,47.849,159.32,73.97,87.56,4.32,313.2,8.53
Standard Classical,A,A-3,23,59.52,47.722,47.849,159.32,74.18,87.13,4.09,318.7,8.67
Standard Classical,A,A-3,24,63.5,48.393,48.393,162.26,74.26,87.59,4.2,321.9,8.83
Standard Classical,A,A-3,25,67.6,48.586,48.586,163.31,74.15,86.82,4.23,325.1,8.93
Standard Classical,A,A-3,26,71.82,49.313,49.313,167.25,74.52,86.59,4.1,322.0,9.11
Standard Classical,A,A-3,27,76.16,49.255,49.313,167.25,73.89,86.72,4.57,328.4,9.31
Standard Classical,A,A-3,28,80.62,49.307,49.313,167.25,74.11,85.62,4.25,328.0,9.49
Standard Classical,A,A-3,29,85.2,50.313,50.313,172.67,74.23,85.99,4.45,332.5,9.71
Standard Classical,A,A-3,30,89.9,50.23,50.313,172.67,74.02,85.8,4.56,331.8,9.87
Standard Classical,A,A-4,0,1.1,19.256,19.256,0.0,66.41,91.37,2.88,263.1,4.37
Standard Classical,A,A-4,1,2.32,25.25,25.25,31.13,68.43,91.08,2.97,265.5,4.54
Standard Classical,A,A-4,2,3.66,28.818,28.818,49.66,69.65,91.09,3.03,265.0,4.69
Standard Classical,A,A-4,3,5.12,31.3,31.3,62.55,70.25,90.99,3.24,268.3,5.12
Standard Classical,A,A-4,4,6.7,32.997,32.997,71.36,70.74,91.91,3.43,269.4,5.18
Standard Classical,A,A-4,5,8.4,35.673,35.673,85.26,71.75,90.06,3.2,270.2,5.34
Standard Classical,A,A-4,6,10.22,36.473,36.473,89.41,71.78,90.97,3.48,278.1,5.74
Standard Classical,A,A-4,7,12.16,36.945,36.945,91.86,72.13,90.64,3.3,279.6,5.72
Standard Classical,A,A-4,8,14.22,38.43,38.43,99.57,72.59,90.46,3.33,281.2,5.96
Standard Classical,A,A-4,9,16.4,39.617,39.617,105.74,72.43,89.42,3.66,286.1,6.24
Standard Classical,A,A-4,10,18.7,40.124,40.124,108.37,72.57,89.07,3.64,284.9,6.38
Standard Classical,A,A-4,11,21.12,41.072,41.072,113.29,73.06,89.41,3.55,286.7,6.34
Standard Classical,A,A-4,12,23.66,41.732,41.732,116.72,73.05,89.18,3.7,287.9,6.74
Standard Classical,A,A-4,13,26.32,42.079,42.079,118.52,73.08,90.14,3.86,293.6,6.83
Standard Classical,A,A-4,14,29.1,43.87,43.87,127.83,73.73,88.29,3.65,287.3,6.84
Standard Classical,A,A-4,15,32.0,43.205,43.87,127.83,73.81,88.87,3.63,294.2,7.33
Standard Classical,A,A-4,16,35.02,44.497,44.497,131.08,73.88,88.57,3.7,299.0,7.68
Standard Classical,A,A-4,17,38.16,44.243,44.497,131.08,73.61,88.6,3.89,306.3,7.93
Standard Classical,A,A-4,18,41.42,45.456,45.456,136.06,73.91,88.93,3.94,303.3,7.84
Standard Classical,A,A-4,19,44.8,45.897,45.897,138.35,74.11,88.33,3.82,306.6,8.01
Standard Classical,A,A-4,20,48.3,46.008,46.008,138.93,73.95,87.23,3.84,306.9,8.05
Standard Classical,A,A-4,21,51.92,46.14,46.14,139.61,73.99,87.33,3.83,314.9,8.39
Standard Classical,A,A-4,22,55.66,47.141,47.141,144.81,74.05,87.45,4.05,315.3,8.49
Standard Classical,A,A-4,23,59.52,47.699,47.699,147.71,73.95,86.73,4.18,317.7,8.72
Standard Classical,A,A-4,24,63.5,48.447,48.447,151.59,74.13,86.84,4.24,318.5,8.88
Standard Classical,A,A-4,25,67.6,48.288,48.447,151.59,74.14,86.89,4.21,318.2,8.93
Standard Classical,A,A-4,26,71.82,48.626,48.626,152.52,74.38,87.78,4.14,323.6,9.21
Standard Classical,A,A-4,27,76.16,49.354,49.354,156.3,74.22,87.1,4.37,328.7,9.44
Standard Classical,A,A-4,28,80.62,48.988,49.354,156.3,74.18,86.84,4.34,330.3,9.41
Standard Classical,A,A-4,29,85.2,49.386,49.386,156.47,73.94,86.33,4.45,333.4,9.56
Standard Classical,A,A-4,30,89.9,48.999,49.386,156.47,73.84,85.86,4.44,338.8,9.93
Standard Classical,A,A-5,0,1.1,20.784,20.784,0.0,66.97,91.93,2.94,262.1,4.45
Standard Classical,A,A-5,1,2.32,26.06,26.06,25.38,68.68,91.19,3.02,261.9,4.46
Standard Classical,A,A-5,2,3.66,30.282,30.282,45.7,70.31,92.28,3.06,263.5,4.83
Standard Classical,A,A-5,3,5.12,32.862,32.862,58.11,71.11,91.85,3.11,263.8,5.11
Standard Classical,A,A-5,4,6.7,34.71,34.71,67.0,71.16,90.52,3.44,272.1,5.19
Standard Classical,A,A-5,5,8.4,35.953,35.953,72.98,72.19,91.14,3.05,276.4,5.43
Standard Classical,A,A-5,6,10.22,38.438,38.438,84.94,72.66,90.01,3.26,274.8,5.45
Standard Classical,A,A-5,7,12.16,39.144,39.144,88.34,73.21,91.04,3.13,279.8,5.7
Standard Classical,A,A-5,8,14.22,39.693,39.693,90.98,72.95,90.87,3.45,280.9,6.03
Standard Classical,A,A-5,9,16.4,40.992,40.992,97.23,73.33,90.29,3.45,283.6,6.08
Standard Classical,A,A-5,10,18.7,41.736,41.736,100.81,73.32,89.4,3.55,284.6,6.3
Standard Classical,A,A-5,11,21.12,42.542,42.542,104.69,73.75,90.02,3.5,284.2,6.58
Standard Classical,A,A-5,12,23.66,43.279,43.279,108.23,73.99,89.78,3.48,288.4,6.67
Standard Classical,A,A-5,13,26.32,44.394,44.394,113.6,74.12,89.2,3.61,295.9,6.96
Standard Classical,A,A-5,14,29.1,44.818,44.818,115.64,74.07,89.64,3.8,293.6,6.85
Standard Classical,A,A-5,15,32.0,45.076,45.076,116.88,73.99,89.37,3.88,297.9,7.1
Standard Classical,A,A-5,16,35.02,45.986,45.986,121.26,74.28,89.96,3.96,297.4,7.28
Standard Classical,A,A-5,17,38.16,46.429,46.429,123.39,74.25,88.43,3.92,299.8,7.59
Standard Classical,A,A-5,18,41.42,46.797,46.797,125.16,74.71,88.63,3.67,305.6,7.52
Standard Classical,A,A-5,19,44.8,47.685,47.685,129.43,74.57,88.58,4.0,310.5,8.11
Standard Classical,A,A-5,20,48.3,47.933,47.933,130.62,74.75,88.35,3.88,307.9,7.84
Standard Classical,A,A-5,21,51.92,48.189,48.189,131.86,74.52,87.66,4.03,310.5,8.15
Standard Classical,A,A-5,22,55.66,49.085,49.085,136.17,74.99,87.71,3.9,317.5,8.47
Standard Classical,A,A-5,23,59.52,48.364,49.085,136.17,74.49,87.06,4.19,316.9,8.63
Standard Classical,A,A-5,24,63.5,49.729,49.729,139.27,74.73,87.08,4.16,319.2,8.71
Standard Classical,A,A-5,25,67.6,49.64,49.729,139.27,74.49,86.35,4.24,324.0,8.97
Standard Classical,A,A-5,26,71.82,50.167,50.167,141.37,74.54,86.57,4.32,325.5,9.08
Standard Classical,A,A-5,27,76.16,50.572,50.572,143.32,74.44,86.16,4.44,326.9,9.34
Standard Classical,A,A-5,28,80.62,51.234,51.234,146.51,74.93,86.57,4.26,326.6,9.79
Standard Classical,A,A-5,29,85.2,50.93,51.234,146.51,74.49,85.48,4.45,331.6,9.79
Standard Classical,A,A-5,30,89.9,51.476,51.476,147.67,74.9,86.63,4.3,334.0,9.96
Standard Classical,A,A-6,0,1.1,20.793,20.793,0.0,66.89,91.85,3.0,259.2,4.76
Standard Classical,A,A-6,1,2.32,26.482,26.482,27.36,69.11,92.15,2.91,264.2,4.48
Standard Classical,A,A-6,2,3.66,30.116,30.116,44.84,70.1,91.71,3.11,266.1,4.79
Standard Classical,A,A-6,3,5.12,32.901,32.901,58.23,70.87,91.36,3.26,268.3,5.04
Standard Classical,A,A-6,4,6.7,34.783,34.783,67.28,71.61,91.12,3.18,265.8,5.26
Standard Classical,A,A-6,5,8.4,36.308,36.308,74.62,72.18,90.4,3.08,270.4,5.33
Standard Classical,A,A-6,6,10.22,37.645,37.645,81.05,72.47,89.9,3.17,270.8,5.51
Standard Classical,A,A-6,7,12.16,38.81,38.81,86.65,73.05,90.95,3.15,277.2,5.48
Standard Classical,A,A-6,8,14.22,41.03,41.03,97.33,73.47,90.79,3.42,282.5,5.91
Standard Classical,A,A-6,9,16.4,40.748,41.03,97.33,73.28,91.08,3.58,285.9,6.15
Standard Classical,A,A-6,10,18.7,42.094,42.094,102.44,73.58,90.21,3.54,286.3,6.38
Standard Classical,A,A-6,11,21.12,43.272,43.272,108.11,73.62,88.89,3.68,287.4,6.46
Standard Classical,A,A-6,12,23.66,44.359,44.359,113.34,74.38,89.64,3.47,290.7,6.43
Standard Classical,A,A-6,13,26.32,43.984,44.359,113.34,73.96,89.48,3.75,298.6,6.76
Standard Classical,A,A-6,14,29.1,45.069,45.069,116.75,74.29,89.58,3.69,297.4,6.97
Standard Classical,A,A-6,15,32.0,45.912,45.912,120.81,74.49,88.25,3.61,295.7,7.16
Standard Classical,A,A-6,16,35.02,46.233,46.233,122.35,74.37,88.58,3.81,302.6,7.35
Standard Classical,A,A-6,17,38.16,46.366,46.366,122.99,74.46,89.43,3.85,302.8,7.81
Standard Classical,A,A-6,18,41.42,46.62,46.62,124.21,74.11,87.89,4.0,307.4,7.77
Standard Classical,A,A-6,19,44.8,47.054,47.054,126.3,74.41,87.98,3.88,303.9,7.9
Standard Classical,A,A-6,20,48.3,47.519,47.519,128.53,74.37,88.11,4.03,310.8,8.05
Standard Classical,A,A-6,21,51.92,48.623,48.623,133.84,74.63,87.61,4.06,311.9,7.9
Standard Classical,A,A-6,22,55.66,49.24,49.24,136.81,74.76,87.87,4.14,312.4,8.38
Standard Classical,A,A-6,23,59.52,48.92,49.24,136.81,75.0,88.87,4.04,318.7,8.65
Standard Classical,A,A-6,24,63.5,48.888,49.24,136.81,74.47,87.75,4.3,321.5,8.81
Standard Classical,A,A-6,25,67.6,49.262,49.262,136.92,74.24,86.59,4.33,323.3,9.01
Standard Classical,A,A-6,26,71.82,49.895,49.895,139.96,74.33,86.92,4.44,328.8,9.18
Standard Classical,A,A-6,27,76.16,50.308,50.308,141.95,74.55,86.71,4.34,330.3,9.47
Standard Classical,A,A-6,28,80.62,50.748,50.748,144.06,74.72,86.52,4.28,329.6,9.4
Standard Classical,A,A-6,29,85.2,51.477,51.477,147.57,74.55,86.55,4.59,330.7,9.68
Standard Classical,A,A-6,30,89.9,51.458,51.477,147.57,74.48,85.87,4.54,333.5,10.0
